kp,depth_m,equivalent_width_m,top_width_m,area_m2,thalweg_m,bank_elevation_m,survey_year,source_file
116.0,9.899999999999999,84.09135630110622,265.4276190476189,832.5044273809514,29.83,39.73,H24②,WZAA4020.CSV
116.5,9.839999999999996,167.56337042682924,297.64,1648.823564999999,31.71,41.55,H24②,WZAA4022.CSV
117.0,7.5,185.11845032907075,316.1425831202046,1388.3883774680307,34.0,41.5,H24②,WZAA4024.CSV
117.5,9.68,164.20637148205032,315.9796701905896,1589.517675946247,33.22,42.9,H24②,WZAA4025.CSV
118.0,5.160000000000004,190.5374368313514,375.48304072398196,983.1731740497739,35.48,40.64,H24②,WZAA4026.CSV
118.5,8.380000000000003,99.33676386204715,198.74455569461827,832.4420811639553,33.75,42.13,H24②,WZAA4027.CSV
119.0,9.0,102.4984566529493,202.81827160493827,922.4861098765437,33.74,42.74,H24②,WZAA4028.CSV
119.5,6.0,152.30278190577238,250.9112308998302,913.8166914346343,36.8,42.8,H24②,WZAA4029.CSV
120.0,6.990000000000002,119.6436480559811,190.89667405764968,836.3090999113082,36.66,43.65,H24②,WZAA4030.CSV
120.5,8.100000000000001,147.45104888039666,223.7973491239455,1194.353495931213,36.91,45.01,H24②,WZAA4031.CSV
121.0,10.550000000000004,102.40230520152852,272.0120382882883,1080.3443198761263,34.8,45.35,H24②,WZAA4032.CSV
121.384,8.410000000000004,148.98342449464923,183.25500000000005,1252.9506000000006,39.97,48.38,H24②,WZAA4033.CSV
121.5,8.220000000000006,108.79453213608362,198.52940038684727,894.291054158608,40.8,49.02,H24②,WZAA4035.CSV
122.0,6.700000000000003,102.70866492537309,201.70000000000027,688.148055,42.3,49.0,H24②,WZAA4037.CSV
122.5,4.6200000000000045,184.56072308938613,356.1284179456915,852.6705406729648,44.65,49.27,H24②,WZAA4038.CSV
123.0,6.490000000000002,93.49648007924274,298.0623809523811,606.7921557142856,42.51,49.0,H24②,WZAA4039.CSV
123.5,5.279999999999994,124.42967201123312,271.95853469189683,656.9886682193102,44.02,49.3,H24②,WZAA4040.CSV
124.0,4.170000000000002,86.83475198335967,188.8493189964158,362.10091577060996,44.85,49.02,H24②,WZAA4041.CSV
124.5,5.589999999999996,99.46280375550484,192.7588139571272,555.9970729932717,44.95,50.54,H24②,WZAA4042.CSV
125.0,4.909999999999997,144.75764792394324,185.65453280542988,710.7600513065607,47.1,52.01,H24②,WZAA4043.CSV
125.184,5.439999999999998,123.50779411764711,148.21,671.8824,46.75,52.19,H24②,WZAA4044.CSV
125.5,4.660000000000004,129.95366931222634,173.2321608040203,605.5840989949752,47.51,52.17,H24②,WZAA4046.CSV
126.0,7.410000000000004,105.96061737177006,153.1700981006707,785.1681747248165,47.55,54.96,H24②,WZAA4047.CSV
126.5,6.380000000000003,136.43284335464267,195.7136668768832,870.4415406026206,49.12,55.5,H24②,WZAA4048.CSV
127.0,6.239999999999995,164.26525970303416,251.48488543976345,1025.0152205469324,50.31,56.55,H24②,WZAA4049.CSV
127.5,5.920000000000002,113.54982653092277,171.866036036036,672.214973063063,50.41,56.33,H24②,WZAA4050.CSV
128.0,6.57,94.14241635990591,115.72233480176212,618.5156754845818,50.52,57.09,H24②,WZAA4051.CSV
128.5,5.43,99.76055146306535,124.79096296296295,541.6997944444448,51.52,56.95,H24②,WZAA4052.CSV
129.0,6.310000000000002,97.35465785995967,139.57486710963457,614.3078910963458,51.79,58.1,H24②,WZAA4053.CSV
129.5,8.920000000000002,102.10401820822396,156.85421787428265,910.7678424173579,51.53,60.45,H24②,WZAA4054.CSV
130.0,6.410000000000004,95.00108908560658,154.02577721477607,608.9569810387385,52.4,58.81,H24②,WZAA4055.CSV
130.5,7.030000000000001,126.92612892548412,161.72413461538463,892.2906863461535,53.48,60.51,H24②,WZAA4057.CSV
131.0,4.93,75.6429183569979,117.87625,372.91958749999964,53.44,58.37,H24②,WZAA4058.CSV
131.5,7.640000000000001,65.8849186415647,92.59235574630424,503.3607784215543,52.66,60.3,H24②,WZAA4059.CSV
132.0,7.160000000000004,50.63692138336969,80.68190024870607,362.56035710492716,52.8,59.96,H24②,WZAA4060.CSV
132.5,5.469999999999999,94.49352530723867,107.68376117389106,516.8795834305954,55.96,61.43,H24②,WZAA4061.CSV
133.0,6.240000000000002,55.554578809425436,81.02633976515018,346.66057177081484,54.22,60.46,H24②,WZAA4062.CSV
133.5,5.810000000000002,63.021695090288496,96.51389830508475,366.1560484745763,55.19,61.0,H24②,WZAA4063.CSV
134.0,4.6200000000000045,126.67243944078581,161.9146509814117,585.226670216431,57.8,62.42,H24②,WZAA4065.CSV
134.5,8.530000000000001,69.74574443141854,100.55000000000003,594.9312000000002,55.89,64.42,H24②,WZAA4066.CSV
135.0,5.969999999999999,65.96690554220382,99.01797101449276,393.8224260869567,56.92,62.89,H24②,WZAA4067.CSV
135.5,4.409999999999997,81.74453885513846,106.89569457809114,360.4934163511603,58.92,63.33,H24②,WZAA4068.CSV
136.0,7.850000000000001,91.16754139299069,121.17202419993214,715.665199934977,59.15,67.0,H24②,WZAA4069.CSV
136.5,9.39,55.92134087432723,88.42761197493617,525.1013908099327,56.22,65.61,H24②,WZAA4070.CSV
137.0,5.980000000000004,53.80473873340471,81.13710171365399,321.7523376257604,58.39,64.37,H24②,WZAA4073.CSV
